Date,Description,Amount,Category
2025-09-01,Salary Credit,147300.63,Income
2025-09-02,Zomato UPI,-450.76,Food & Drink
2025-09-03,Amazon.in Purchase,-2200.50,Shopping
2025-09-04,PhonePe to Landlord,-18000.00,Bills
2025-09-05,BigBasket Groceries,-4500.75,Groceries
2025-09-08,Electricity Bill Payment,-1250.00,Bills
2025-09-12,PVR Movie Tickets,-880.00,Entertainment
2025-09-15,Airtel Mobile Bill,-799.00,Bills
2025-09-16,Cafe Coffee Day,-550.00,Food & Drink
2025-09-21,Unusual UPI to unknown,-75000.00,Transfers
2025-09-22,Groceries,-3800.00,Groceries
2025-09-25,ATM Withdrawal - Goa,-50000.00,Cash
2025-09-26,Petrol Station,-2000.00,Transport
2025-09-30,Cult.fit Membership,-1500.00,Health
2025-10-01,Salary Credit,147300.63,Income
2025-10-02,Swiggy Order,-520.00,Food & Drink
2025-10-03,Myntra Diwali Shopping,-7800.00,Shopping
2025-10-04,PhonePe to Landlord,-18000.00,Bills
2025-10-05,Groceries for Diwali,-6200.00,Groceries
2025-10-07,Electricity Bill,-1350.00,Bills
2025-10-10,International Site Purchase,-25000.00,Shopping
2025-10-11,BookMyShow - Diwali Movie,-1200.00,Entertainment
2025-10-15,Airtel Mobile Bill,-799.00,Bills
2025-10-17,Dinner with Family,-3500.00,Food & Drink
2025-10-20,Diwali Bonus,10000.00,Income
2025-10-22,Flipkart Big Billion Day,-11500.00,Shopping
2025-10-25,GPay to Friend (Gift),-2001.00,Transfers
2025-10-28,Petrol Station,-2200.00,Transport
2025-10-30,Medical Expense,-1800.00,Health
